a surprising thing|jambo la ajabu
this will be the first government in fifty years to be elected democratically|hii itakuwa ni serikali ya kwanza katika kipindi cha miaka hamsini kuchaguliwa kidemokrasia [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 28 Aprili 2005</a>]
the Vatican under the leadership of the new Pope Benedict XVI has criticised a new law in Spain that will allow single sex couples to marry|Vatican chini ya uongozi wa papa mpya Benedict wa 16 imeishutumu sheria mpya ya Uhispania itakayowarushusu wapenzi wa jinsia moja kuoana [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 22 Aprili 2005</a>]
he also promised he will improve the education sector, which now has collapsed.|pia anaahidi kuwa ataboresha sekta ya elimu, ambayo kwa sasa imeporomoka (<a href="http://www.ipp.co.tz/ipp/nipashe/2005/06/16/42185.html" target="_blank">Nipashe</a> 16/6/2005).
Tanzania's Parliament was robbed of its web site by some unscrupulous people hiding in Canada, who then used it for selling pornography.|Bunge la Tanzania lilinyang'anywa tovuti yake wahuni waliokuwa wanajificha Kanada, walioitumia kuendeshea biashara ya ngono [<a href="http://www.bungetz.org/" target="_blank">Bungetz Web Site</a>].
driver in custody for hitting someone|dereva mbaroni kwa kugonga mtu [<a href="http://216.69.164.44/ipp/alasiri/2005/05/12/39298.html" target="_blank">Alasiri 12 Mei 2005</a>]
after the excitement of finding a presidential candidate|baada ya kindumbwendumbwe cha kumpata mgombea Urais [<a href="http://216.69.164.44/ipp/alasiri/2005/05/13/39383.html" target="_blank">Alasiri 13 Mei 2005</a>]
the decision of the court has to be respected and implemented|amri ya mahakama lazima iheshimiwe na kutekelezwa [<a href="http://216.69.164.44/ipp/alasiri/2005/05/13/39382.html" target="_blank">Alasiri 13 Mei 2005</a>]
seals live in the ocean|sili huishi baharini
the Regional Commissioner charged the committee with implementing precise strategies for the collection of the taxes|mkuu huyo wa mkoa ameziagiza halmashauri hizo kuweka mikakati madhubuti wa ukusanyaji wa ushuru [<a href="http://216.69.164.44/ipp/itv/2005/05/12/39266.html" target="_blank">ITV</a>]
an ud expert from Mombasa, Kenya Zein L' Abdin, gave classes for teachers when he was a guest at the DCMA|gwiji wa Udi kutoka Mombasa, Kenya Zein L' Abdin alikuwa mgeni DCMA wakati alipotoa mafunzi kwa wakufunzi [<a href="http://www.zanzibarmusic.org/mc_zein_s.htm" target="_blank">DCMA</a>]
then again, if I'm riding my bicycle, and I run over a chicken, you see I can't hide myself, since everyone will know that it was I that ran over the chicken|ao tu uko natembeya na kinga yako una konga kuku, una ona tu asema abasta kufisha batakufamu tu asema ni fulani ana konga kuku [<a href="http://www2.fmg.uva.nl/lpca/aps/vol6/mufwankoloentretiensketch.html" target="_blank">Mufwankolo</a>]
He has started to blog in a Berber language, Tamazeight|ameanza kublogu kwa lugha ya Kiberber, Tamazeight (<a href="http://jikomboe.blogspot.com/2005/05/blogu-za-lugha-za-makabila-ya-afrika.html" target="_blank">jikomboe</a>)
a census carried out in 2003 shows that there were 17,523 prisoners in Uganda, although the prisons were only capable of housing 8,563 prisoners|sensa iliyofanyika mwaka 2003, inaonyesha kwamba kulikuwepo na wafungwa 17,523 nchini

Uganda, ingawa magereza yalikuwa na uwezo wa kuwapokea wafungwa 8,563 pekee [<a href="http://www2.dw-world.de/kiswahili/vermischtes/1.138575.1.html" target="_blank">DW 19 Mei 2005</a>]
gay and lesbian acts|vitendo vya ushoga na usagaji
a census carried out in 2003 shows that there were 17,523 prisoners in Uganda, although the prisons were only capable of housing 8,563 prisoners|sensa iliyofanyika mwaka 2003, inaonyesha kwamba kulikuwepo na wafungwa 17,523 nchini Uganda, ingawa magereza yalikuwa na uwezo wa kuwapokea wafungwa 8,563 pekee [<a href="http://www2.dw-world.de/kiswahili/vermischtes/1.138575.1.html" target="_blank">DW 19 Mei 2005</a>]
an only child|mtoto pekee
it is reported that the number of prisoners could be increased until it reached 20,000|inaarifiwa kwamba idadi ya wafungwa inaweza kuongezeka hadi kufikia 20,000 [<a href="http://www2.dw-world.de/kiswahili/vermischtes/1.138575.1.html" target="_blank">DW 19 Mei 2005</a>]
what is the reason for girls having abortions and abandoning their children?|ni nini chanzo cha wasichana kutoa mimba na kutupa watoto?  [<a href="http://bcstimes.com/majira/maishanajamii.shtml" target="_blank">Maisha 31 Oktoba 2003</a>]
in big cities there are people from many tribes|kuna watu wa makabila mbalimbali katika miji mikubwa [<a href="http://64.233.187.104/search?q=cache:9jDyCtAnoBcJ:www.africa.ufl.edu/swahili/notes/snt_2all.msw+kuna+watu+wa+makabila+mbalimbali+katika+miji+mikubwa+&hl=en&lr=lang_en" target="_blank">Uni of Florida</a>]
North Korea is reported to have test-fired a short-range missile into the Sea of Japan|Korea ya Kaskazini ilisemekana kufanya majaribio ya kombora la masafa mafupi kuelekea bahari ya Japan [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_amkanabbc.shtml" target="_blank">BBC 2 Mei 2005</a>]
North Korea is reported to have test-fired a short-range missile into the Sea of Japan|Korea ya Kaskazini ilisemekana kufanya majaribio ya kombora la masafa mafupi kuelekea bahari ya Japan [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_amkanabbc.shtml" target="_blank">BBC 2 Mei 2005</a>]
North Korea is reported to have test-fired a short-range missile into the Sea of Japan|Korea ya Kaskazini ilisemekana kufanya majaribio ya kombora la masafa mafupi kuelekea bahari ya Japan [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_amkanabbc.shtml" target="_blank">BBC 2 Mei 2005</a>]
as for money, seek advice from one person, but continue with your plans as you had made them|juu ya pesa tafuta mashauri kutoka kwa mtu mmoja, lakini endelea na mipango yako kama ulivyopanga [Nyota 1968]
disown a friend|kana rafiki
Dr Salim Ahmed Salim, who was once Prime Minister and Secretary General of the OAU|Dr Salim Ahmed Salim ambaye aliwahi kuwa waziri mkuu na katibu mkuu wa OAU [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_amkanabbc.shtml" target="_blank">BBC 3 Mei 2005</a>]
After living two years in Tokyo, he spoke Japanese|Baada ya kuishi miaka miwili mjini Tokyo, akasema Kijapani
24 people were escorted to the witness stand|watu 24 wamefikishwa kizimbani [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 22 Aprili 2005</a>]
Mwanza's High Court has sentenced five defendants a total of 11 years in jail after they pleaded guilty to man-slaughter|Mahakama Kuu Kanda ya Mwanza imewahukumu jumla ya miaka 11 jela washitakiwa watano baada ya kukiri makosa ya mauaji bila kukusudia [<a href="http://216.69.164.44/ipp/nipashe/2005/05/09/38993.html" target="_blank">Nipashe 9 Mei 2005</a>]
Mwanza's High Court has sentenced five defendants a total of 11 years in jail after they pleaded guilty to man-slaughter|Mahakama Kuu Kanda ya Mwanza imewahukumu jumla ya miaka 11 jela washitakiwa watano baada ya kukiri makosa ya mauaji bila kukusudia [<a href="http://216.69.164.44/ipp/nipashe/2005/05/09/38993.html" target="_blank">Nipashe 9 Mei 2005</a>]
during the first round, the votes were as follows|katika duru ya kwanza kura zilikuwa kama ifuatavyo [<a href="http://www.uhuru.info/KUELEKEA%20UCHAGUZI%20MKUU.htm" target="_blank">Uhuru</a>]
it should also be remembered that it is the first government in which Kurds occupy a quarter of all top positions|pia ikumbukwe kwamba ni serikali ya kwanza ambapo wakurdi wanashikilia karibu robo ya nafasi zote muhimu za juu [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 28 Aprili 2005</a>]
police in Dar es Salaam have arrested two people suspected of being found with 12 small pieces of fake rhinoceros horn|polisi jijini Dar es Salaam, imewatia mbaroni watu wawili wanaotuhumiwa kukutwa na vipande 12 vya pembe bandia za faru [<a href="http://216.69.164.44/ipp/nipashe/2005/05/09/38991.html" target="_blank">Nipashe 9 Mei 2005</a>]
he said that the selection of candidates for the presidency was open and honest|amesema mchujo wa Urais ulikuwa wa uwazi na ukweli [<a href="http://216.69.164.44/ipp/nipashe/2005/05/09/38994.html" target="_blank">Nipashe 9 Mei 2005</a>]
And they dressed him in T-shirt and shorts!  A man that had been President of the country!|Wakamvalisha kifulana na bukta!  Mtu aliyekuwa Rais wa nchi!  [<a href="http://www.youngafrican.com/yaforum/topic.asp?TOPIC_ID=3859" target="_blank">Irene Kokugonza</a>]
and they dressed him in T-shirt and shorts!  a man that had been President of the country!|wakamvalisha kifulana na bukta!  mtu aliyekuwa Rais wa nchi!  [<a href="http://www.youngafrican.com/yaforum/topic.asp?TOPIC_ID=3859" target="_blank">Irene Kokugonza</a>]
This is a test.  This is only a test|Hili ni jaribio.  Ni jaribio tu.
avoid him or her, your help will not be appreciated|epukana naye, msaada wako hautapongezwa [Nyota 1968]
five names for which votes will be cast today|majina matano yatakayopigiwa kura leo [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_amkanabbc.shtml" target="_blank">BBC 3 Mei 2005</a>]
in an effort to reduce tension in China, the Japanese Prime Minister Junichiro Koizumi has said that his country is facing these facts of history with humility|katika jaribio la kupunguza mvutano uliopo na Uchina waziri mkuu wa Japan Junichiro Koizumi amesema nchi yake inakabiliana na ukweli huo wa kihistoria kwa unyenyekevu [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 22 Aprili 2005</a>]
a UK-based aid agency, Oxfam, has warned that the humanitarian crisis for the people of Darfur will continue for at least another 18 months|shirika la misaada lenye makao yake makuu nchini Uingereza, Oxfam, limeonya kwamba matatizo ya huduma muhimu kwa wananchi wa Darfur yatazidi kuendelea kwa kipindi kingine cha walau miezi 18 [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_amkanabbc.shtml" target="_blank">BBC 2 Mei 2005</a>]
delegates discuss nuclear weapons|wakutana kujadili silaha za kinuklia [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_amkanabbc.shtml" target="_blank">BBC 2 Mei 2005</a>]
the Prime Minister of the transitional Lebanese government, Najib Mikati, said that the parliamentary elections would be held on 29 May|waziri mkuu wa serikali ya mpito ya Lebanon Najib Miqati amesema uchaguzi wa bunge utafanyika tarehe 29 Mei [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 22 Aprili 2005</a>]
some schools carry out a vicious selection of their pupils and remaining behind are just those that the school leadership thinks will enable the school to reach a higher status|baadhi ya shule zinaendesha michujo mikali kwa wanafunzi wake na kubakia na wale tu ambao uongozi wa shule unafikiri wataiwezesha shule kufaulu kwa viwango vya juu [<a href="http://www.wanafunzi.or.tz/habari_kina.php?news_id=18" target="_blank">Nipashe</a>]
the Vatican opposes people of the same sex bringing up children|Vatican yapinga malezi ya watu wa jinsia moja [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 22 Aprili 2005</a>]
Chahe is listening to that bird very carefully|Chahe anamsikiliza ndege huyu kwa makini sana [Chacha, Masomo 371]
if you climb a Governor's plum tree don't expect to harvest oranges but rather thorns|ukipanda mchongoma usitegemee kuvuna machungwa ila miba [An-nuur 276]
these were used to inform evil people in society|zilitumika kuwaarifisha watu walio waovu katika jamii [An-nuur 276]
That radio has quoted him saying ...|Radio hiyo imemnukulu akisema ...
despite the tension …, this is a very important moment in Iraqi history|licha ya mvutano …, huu ni wakati muhimu sana kwa historia ya Iraq [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 28 Aprili 2005</a>]
the session will be led by the Chancellor of Nairobi University, Joe Wanjui|kikao kitaongozwa na kansela wa Chuo Kikuu cha Nairobi Joe Wanjui [<a href="http://www.ippmedia.com/ipp/ear/2005/05/22/40142.html" target="_blank">EAR 22 Mei 2005</a>]
partnership takes a lot of effort from all those involved|ubia huhitaji juhudi nyingi kutoka kwa wote wanaohusika [<a href="http://www.gainhealth.org/pdf/tool_swahili.pdf" target="_blank"><i>Kitabu cha Ala za Kujengea Ubia</i></a>]
about four o'clock|hukumu ya saa kumi
National Executive Committee of the Revolutionary Party (Tanzania)|Halmashauri Kuu ya Taifa ya Chama cha Mapinduzi (Tanzania)
they were charged with being members of a terrorist group|wanashtakiwa kuwa wanachama wa kundi la kigaidi [<a href="http://www.bbc.co.uk/swahili/news/story/2004/06/000000_dirayadunia.shtml" target="_blank">BBC 22 Aprili 2005</a>]
ethics have been undergoing erosion day after day|maadili yamekuwa yakimong'onyoka siku hadi siku [<a href="http://www.bcstimes.com/maisha/viewnews.php?category=2&newsID=384" target="_blank">Maisha</a>].
even on billboards you'll find an ad in the middle of some village but you'll find it written in English.|hata katika mabango ya barabarani ... utakuta tangazo katikati ya kijiji fulani lakini utakuta limeandikwa kwa lugha ya Kiingereza [Abdul Njaidi, 5 Novemba 2003]
he has lived in a polygynous family|ameishi katika familia yenye ukewenza [<a href="http://www.islamtz.org/nasaha/057/057-5.htm" target="_blank">Khadija Idd</a>, 19-25 Julai 2000]
The news media, as well as western culture, work hard to spread lies and lots of propaganda about polygyny.|"Vyombo vya habari, pamoja na utamaduni wa Kimagharibi vinafanya kazi sana kueneza uongo na propaganda nyingi kuhusu ukewenza." [<a href="http://www.islamtz.org/nasaha/057/057-5.htm" target="_blank">Khadija Idd</a>]
These propagandists don't see the poverty, individualism, exploitation which is caused by a bad system ...|"Wanapropaganda hawa hawauoni umaskini, ubinafsi, unyanyasaji unaosababishwa na mfumo mbovu..." [<a href="http://www.islamtz.org/nasaha/057/057-5.htm" target="_blank">Khadija Idd</a>]
extremely poor|maskini wa kutupwa
a polygynous marriage is one in which a man has more than one wife.|mitala ni ndoa ambayo mwanaume huwa na zaidi
ya mke mmoja.  [<a href="http://www.islamtz.org/an-nuur3/235/235-9.htm" target="_blank">Asia Mohomed, An-nuur</a>]
The benefits of mistresses are in satisfying the desires of a man and not for the benefit of society."|faida za kimada
ziko katika kuridhisha tamaa ya mwanamume na si kwa manufaa ya jamii.  [Dar Leo]
this is a test english example|this is a test swahil example
Tanzania Breweries (TBL) is the chief race sponsor of the 42 kilometer Kilamanjaro Marathon competition|Kampuni ya Bia Tanzania (TBL) ndiyo mdhamini mkuu katika mbio za kilomita 42 kwenye mashindano hayo ya Kilimanjaro Marathon (<a href="http://bcstimes.com/majira/viewnews.php?category=2&newsID=1031" target="_blank">Majira</a> 6 Machi 2004)
The marathon, called the Kilimanjaro Marathon, which was started two years ago, has helped improve the level of Tanzanian athletes and their participation in marathons around the world.|Mbio za masafa marefu, Kilimanjaro Marathon, zilizoanzishwa miaka miwili iliyopita zimesaidia kuboresha viwango vya wanariadha wa Tanzania na ushiriki wao katika mbio za masafa marefu duniani.  (<a href="http://196.41.49.109/ipp/itv/2005/01/23/30673.html " target="_blank">IPP TV</a> 23 Januari 2005)
